,5.223.62.210,5.223.8.141,5.223.0.133,5.223.0.81,5.223.0.69,62.115.170.54,62.115.136.198,62.115.140.42,62.115.136.250,62.115.138.104,62.115.122.35,62.115.137.118,213.248.95.243,213.239.224.26,213.239.228.14,213.239.228.62,65.108.117.172,65.108.94.222,5.223.0.181,5.223.0.77,103.60.60.117,132.147.112.109,184.105.64.138,5.78.0.78,5.78.8.250,5.78.98.32,5.223.0.85,62.115.140.50,5.223.0.73
5.223.62.210,,0.0,0.0,,0.0,2.6675000000000004,3.2085,,153.951,175.234,177.05149999999998,177.05149999999998,177.268,180.35750000000002,180.35750000000002,180.35750000000002,180.35750000000002,181.88799999999998,,,0.0,0.9804999999999999,151.5275,151.5275,152.4675,152.562,,136.841,0.0
5.223.8.141,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5.223.0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.69,,,,,,2.6675000000000004,,,,,,,,,,,,,,,,,,,,,,,
62.115.170.54,,,,,,,0.5410000000000001,,,,,,,,,,,,,,,,,,,,,,
62.115.136.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.6325,
62.115.140.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.136.250,,,,,,,,,,21.283000000000015,,,,,,,,,,,,,,,,,,,
62.115.138.104,,,,,,,,,,,1.8174999999999812,,,,,,,,,,,,,,,,,,
62.115.122.35,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
62.115.137.118,,,,,,,,,,,,,0.21650000000001055,,,,,,,,,,,,,,,,
213.248.95.243,,,,,,,,,,,,,,3.089500000000001,,,,,,,,,,,,,,,
213.239.224.26,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
213.239.228.14,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
213.239.228.62,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
65.108.117.172,,,,,,,,,,,,,,,,,,1.5304999999999893,,,,,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.60.60.117,,,,,,,,,,,,,,,,,,,,,,0.9804999999999999,,,,,,,
132.147.112.109,,,,,,,,,,,,,,,,,,,,,,,150.54700000000003,,,,,,
184.105.64.138,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
5.78.0.78,,,,,,,,,,,,,,,,,,,,,,,,,0.9399999999999977,,,,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,,0.09449999999999645,,,
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.140.50,,,,,,,,,17.109999999999985,,,,,,,,,,,,,,,,,,,,
5.223.0.73,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
