,5.223.62.210,5.223.8.141,5.223.0.133,5.223.0.81,5.223.0.69,62.115.170.54,62.115.136.198,62.115.140.42,62.115.136.250,62.115.138.104,62.115.122.35,62.115.137.118,213.248.95.243,213.239.224.26,213.239.228.14,213.239.228.62,65.108.117.172,65.108.94.222,5.223.0.181,5.223.0.77,103.60.60.117,132.147.112.109,184.105.64.138,5.78.0.78,5.78.8.250,5.78.98.32,5.223.0.85,62.115.140.50,5.223.0.73,184.105.64.254
5.223.62.210,,0.0,0.0,0.0,0.0,0.0,0.0,,153.446,171.845,171.845,171.845,171.845,179.48,179.48,179.48,179.48,181.449,,,0.0,1.266,152.819,153.401,153.501,153.501,,152.47899999999998,0.0,68.37899999999999
5.223.8.141,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.133,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
5.223.0.81,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.69,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
62.115.170.54,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
62.115.136.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.47899999999998,,
62.115.140.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.136.250,,,,,,,,,,18.399,,,,,,,,,,,,,,,,,,,,
62.115.138.104,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
62.115.122.35,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
62.115.137.118,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
213.248.95.243,,,,,,,,,,,,,,7.634999999999991,,,,,,,,,,,,,,,,
213.239.224.26,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
213.239.228.14,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
213.239.228.62,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
65.108.117.172,,,,,,,,,,,,,,,,,,1.9690000000000225,,,,,,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.60.60.117,,,,,,,,,,,,,,,,,,,,,,1.266,,,,,,,,
132.147.112.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.11299999999999
184.105.64.138,,,,,,,,,,,,,,,,,,,,,,,,0.582000000000022,,,,,,
5.78.0.78,,,,,,,,,,,,,,,,,,,,,,,,,0.09999999999999432,,,,,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.140.50,,,,,,,,,0.967000000000013,,,,,,,,,,,,,,,,,,,,,
5.223.0.73,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
184.105.64.254,,,,,,,,,,,,,,,,,,,,,,,84.44,,,,,,,
